Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","329","Cotton seed","t","32596.88","E","Estimated value"
"QCL","Crops and livestock products","3","Albania","5510","Production","329","Cotton seed","t","514.23","E","Estimated value"
"QCL","Crops and livestock products","4","Algeria","5510","Production","329","Cotton seed","t","41.79","E","Estimated value"
"QCL","Crops and livestock products","7","Angola","5510","Production","329","Cotton seed","t","3680.58","E","Estimated value"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5510","Production","329","Cotton seed","t","58.17","E","Estimated value"
"QCL","Crops and livestock products","9","Argentina","5510","Production","329","Cotton seed","t","368686.41","E","Estimated value"
"QCL","Crops and livestock products","10","Australia","5510","Production","329","Cotton seed","t","848832.93","E","Estimated value"
"QCL","Crops and livestock products","11","Austria","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","329","Cotton seed","t","81620.3","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","329","Cotton seed","t","35301.83","E","Estimated value"
"QCL","Crops and livestock products","255","Belgium","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","53","Benin","5510","Production","329","Cotton seed","t","226955.85","E","Estimated value"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","329","Cotton seed","t","29625.11","E","Estimated value"
"QCL","Crops and livestock products","20","Botswana","5510","Production","329","Cotton seed","t","1153.2","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","329","Cotton seed","t","2063520.63","E","Estimated value"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","329","Cotton seed","t","2737.12","E","Estimated value"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","329","Cotton seed","t","292687.67","E","Estimated value"
"QCL","Crops and livestock products","29","Burundi","5510","Production","329","Cotton seed","t","1738.78","E","Estimated value"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","329","Cotton seed","t","167.32","E","Estimated value"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","329","Cotton seed","t","139565.59","E","Estimated value"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","329","Cotton seed","t","10553.07","E","Estimated value"
"QCL","Crops and livestock products","39","Chad","5510","Production","329","Cotton seed","t","82246.63","E","Estimated value"
"QCL","Crops and livestock products","351","China","5510","Production","329","Cotton seed","t","11012654.93","E","Estimated value"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","329","Cotton seed","t","11012654.89","E","Estimated value"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","329","Cotton seed","t","0.04","E","Estimated value"
"QCL","Crops and livestock products","44","Colombia","5510","Production","329","Cotton seed","t","51751.08","E","Estimated value"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","329","Cotton seed","t","315.09","E","Estimated value"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","329","Cotton seed","t","171315.11","E","Estimated value"
"QCL","Crops and livestock products","98","Croatia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","49","Cuba","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","50","Cyprus","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","167","Czechia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","329","Cotton seed","t","23804.6","E","Estimated value"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","329","Cotton seed","t","18875.56","E","Estimated value"
"QCL","Crops and livestock products","54","Denmark","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","329","Cotton seed","t","56","E","Estimated value"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","329","Cotton seed","t","3564.32","E","Estimated value"
"QCL","Crops and livestock products","59","Egypt","5510","Production","329","Cotton seed","t","277537.11","E","Estimated value"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","329","Cotton seed","t","605.12","E","Estimated value"
"QCL","Crops and livestock products","63","Estonia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","209","Eswatini","5510","Production","329","Cotton seed","t","4292.99","E","Estimated value"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","329","Cotton seed","t","49770.37","E","Estimated value"
"QCL","Crops and livestock products","67","Finland","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","68","France","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","75","Gambia","5510","Production","329","Cotton seed","t","333.85","E","Estimated value"
"QCL","Crops and livestock products","79","Germany","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","81","Ghana","5510","Production","329","Cotton seed","t","11682.85","E","Estimated value"
"QCL","Crops and livestock products","84","Greece","5510","Production","329","Cotton seed","t","606368.89","E","Estimated value"
"QCL","Crops and livestock products","86","Grenada","5510","Production","329","Cotton seed","t","24.74","E","Estimated value"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","329","Cotton seed","t","3217","E","Estimated value"
"QCL","Crops and livestock products","90","Guinea","5510","Production","329","Cotton seed","t","19717.19","E","Estimated value"
"QCL","Crops and livestock products","175","Guinea-Bissau","5510","Production","329","Cotton seed","t","2926","E","Estimated value"
"QCL","Crops and livestock products","93","Haiti","5510","Production","329","Cotton seed","t","733.74","E","Estimated value"
"QCL","Crops and livestock products","95","Honduras","5510","Production","329","Cotton seed","t","1688.28","E","Estimated value"
"QCL","Crops and livestock products","97","Hungary","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","329","Cotton seed","t","7823029.63","E","Estimated value"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","329","Cotton seed","t","2642.18","E","Estimated value"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","329","Cotton seed","t","177985.96","E","Estimated value"
"QCL","Crops and livestock products","103","Iraq","5510","Production","329","Cotton seed","t","18750.19","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","105","Israel","5510","Production","329","Cotton seed","t","33447.15","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","329","Cotton seed","t","177272.08","E","Estimated value"
"QCL","Crops and livestock products","114","Kenya","5510","Production","329","Cotton seed","t","11740.93","E","Estimated value"
"QCL","Crops and livestock products","113","Kyrgyzstan","5510","Production","329","Cotton seed","t","51793.89","E","Estimated value"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","329","Cotton seed","t","6444.57","E","Estimated value"
"QCL","Crops and livestock products","119","Latvia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","129","Madagascar","5510","Production","329","Cotton seed","t","11113.73","E","Estimated value"
"QCL","Crops and livestock products","130","Malawi","5510","Production","329","Cotton seed","t","42029.46","E","Estimated value"
"QCL","Crops and livestock products","133","Mali","5510","Production","329","Cotton seed","t","251728.19","E","Estimated value"
"QCL","Crops and livestock products","134","Malta","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","138","Mexico","5510","Production","329","Cotton seed","t","299169.22","E","Estimated value"
"QCL","Crops and livestock products","143","Morocco","5510","Production","329","Cotton seed","t","471.73","E","Estimated value"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","329","Cotton seed","t","61870.21","E","Estimated value"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","329","Cotton seed","t","166928.26","E","Estimated value"
"QCL","Crops and livestock products","147","Namibia","5510","Production","329","Cotton seed","t","1056.03","E","Estimated value"
"QCL","Crops and livestock products","149","Nepal","5510","Production","329","Cotton seed","t","331.25","E","Estimated value"
"QCL","Crops and livestock products","150","Netherlands (Kingdom of the)","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","329","Cotton seed","t","2750.19","E","Estimated value"
"QCL","Crops and livestock products","158","Niger","5510","Production","329","Cotton seed","t","5105.12","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","329","Cotton seed","t","227185.19","E","Estimated value"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","329","Cotton seed","t","1.37","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","329","Cotton seed","t","3635670.26","E","Estimated value"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","329","Cotton seed","t","83859.29","E","Estimated value"
"QCL","Crops and livestock products","170","Peru","5510","Production","329","Cotton seed","t","74180.59","E","Estimated value"
"QCL","Crops and livestock products","171","Philippines","5510","Production","329","Cotton seed","t","1439.33","E","Estimated value"
"QCL","Crops and livestock products","173","Poland","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","174","Portugal","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","117","Republic of Korea","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","183","Romania","5510","Production","329","Cotton seed","t","3.11","E","Estimated value"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","188","Saint Kitts and Nevis","5510","Production","329","Cotton seed","t","2.24","E","Estimated value"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","194","Saudi Arabia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","195","Senegal","5510","Production","329","Cotton seed","t","17774.07","E","Estimated value"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","201","Somalia","5510","Production","329","Cotton seed","t","4263.14","E","Estimated value"
"QCL","Crops and livestock products","202","South Africa","5510","Production","329","Cotton seed","t","35826.15","E","Estimated value"
"QCL","Crops and livestock products","277","South Sudan","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","203","Spain","5510","Production","329","Cotton seed","t","94223.22","E","Estimated value"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","276","Sudan","5510","Production","329","Cotton seed","t","85238.21","E","Estimated value"
"QCL","Crops and livestock products","206","Sudan (former)","5510","Production","329","Cotton seed","t","122220.56","E","Estimated value"
"QCL","Crops and livestock products","210","Sweden","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","329","Cotton seed","t","375184.89","E","Estimated value"
"QCL","Crops and livestock products","208","Tajikistan","5510","Production","329","Cotton seed","t","219296.3","E","Estimated value"
"QCL","Crops and livestock products","216","Thailand","5510","Production","329","Cotton seed","t","13572.66","E","Estimated value"
"QCL","Crops and livestock products","217","Togo","5510","Production","329","Cotton seed","t","59599.85","E","Estimated value"
"QCL","Crops and livestock products","222","Tunisia","5510","Production","329","Cotton seed","t","1465.56","E","Estimated value"
"QCL","Crops and livestock products","223","Türkiye","5510","Production","329","Cotton seed","t","1291691.96","E","Estimated value"
"QCL","Crops and livestock products","213","Turkmenistan","5510","Production","329","Cotton seed","t","498888.89","E","Estimated value"
"QCL","Crops and livestock products","226","Uganda","5510","Production","329","Cotton seed","t","45486.22","E","Estimated value"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","329","Cotton seed","t","148279.21","E","Estimated value"
"QCL","Crops and livestock products","231","United States of America","5510","Production","329","Cotton seed","t","5521192.22","E","Estimated value"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","329","Cotton seed","t","1961259.26","E","Estimated value"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","329","Cotton seed","t","10647.91","E","Estimated value"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","329","Cotton seed","t","9647.65","E","Estimated value"
"QCL","Crops and livestock products","249","Yemen","5510","Production","329","Cotton seed","t","13082.33","E","Estimated value"
"QCL","Crops and livestock products","251","Zambia","5510","Production","329","Cotton seed","t","65889.33","E","Estimated value"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","329","Cotton seed","t","130696.15","E","Estimated value"
